"Sex"	"Item Name"	"Area"	"date"	"value type"	"value"	"flag"
"Total"	"Total claimants"	"ps:AB 1 0 - Aberdeen"	"January 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 0 - Aberdeen"	"January 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 0 - Aberdeen"	"February 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 0 - Aberdeen"	"February 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 0 - Aberdeen"	"March 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 0 - Aberdeen"	"March 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 0 - Aberdeen"	"April 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 0 - Aberdeen"	"April 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 0 - Aberdeen"	"May 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 0 - Aberdeen"	"May 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 0 - Aberdeen"	"June 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 0 - Aberdeen"	"June 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 0 - Aberdeen"	"July 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 0 - Aberdeen"	"July 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 0 - Aberdeen"	"August 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 0 - Aberdeen"	"August 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 0 - Aberdeen"	"September 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 0 - Aberdeen"	"September 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 0 - Aberdeen"	"October 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 0 - Aberdeen"	"October 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 0 - Aberdeen"	"November 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 0 - Aberdeen"	"November 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 0 - Aberdeen"	"December 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 0 - Aberdeen"	"December 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 0 - Aberdeen"	"January 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 0 - Aberdeen"	"January 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 0 - Aberdeen"	"February 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 0 - Aberdeen"	"February 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 0 - Aberdeen"	"March 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 0 - Aberdeen"	"March 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 0 - Aberdeen"	"April 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 0 - Aberdeen"	"April 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 0 - Aberdeen"	"May 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 0 - Aberdeen"	"May 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 0 - Aberdeen"	"June 2018"	"number"	#	""
